,scores_,scores_avg,scores,avgs
0,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
1,0.0,0.05000000074505806,0.0,0.05000000074505806
2,0.0,0.033333333830038704,0.0,0.033333333830038704
3,0.0,0.02500000037252903,0.0,0.02500000037252903
4,0.0,0.020000000298023225,0.0,0.020000000298023225
5,0.10000000149011612,0.033333333830038704,0.10000000149011612,0.033333333830038704
6,0.0,0.028571428997176036,0.0,0.028571428997176036
7,0.0,0.02500000037252903,0.0,0.02500000037252903
8,0.0,0.022222222553359136,0.0,0.022222222553359136
9,0.0,0.020000000298023225,0.0,0.020000000298023225
10,0.0,0.018181818452748386,0.0,0.018181818452748386
11,0.0,0.016666666915019352,0.0,0.016666666915019352
12,0.0,0.015384615613864018,0.0,0.015384615613864018
13,0.0,0.014285714498588018,0.0,0.014285714498588018
14,0.0,0.013333333532015483,0.0,0.013333333532015483
15,0.0,0.012500000186264515,0.0,0.012500000186264515
16,0.0,0.01176470605766072,0.0,0.01176470605766072
17,0.0,0.011111111276679568,0.0,0.011111111276679568
18,0.0,0.010526315946328012,0.0,0.010526315946328012
19,0.10000000149011612,0.015000000223517418,0.10000000149011612,0.015000000223517418
20,0.0,0.014285714498588018,0.0,0.014285714498588018
21,0.0,0.013636363839561289,0.0,0.013636363839561289
22,0.0,0.013043478455232538,0.0,0.013043478455232538
23,0.0,0.012500000186264515,0.0,0.012500000186264515
24,0.0,0.012000000178813934,0.0,0.012000000178813934
25,0.0,0.011538461710398015,0.0,0.011538461710398015
26,0.0,0.011111111276679568,0.0,0.011111111276679568
27,0.0,0.010714285873941012,0.0,0.010714285873941012
28,0.0,0.01034482774035684,0.0,0.01034482774035684
29,0.0,0.010000000149011612,0.0,0.010000000149011612
30,0.0,0.009677419499043495,0.0,0.009677419499043495
31,0.10000000149011612,0.012500000186264515,0.10000000149011612,0.012500000186264515
32,0.0,0.012121212301832256,0.0,0.012121212301832256
33,0.0,0.01176470605766072,0.0,0.01176470605766072
34,0.0,0.011428571598870414,0.0,0.011428571598870414
35,0.0,0.011111111276679568,0.0,0.011111111276679568
36,0.0,0.010810810971904445,0.0,0.010810810971904445
37,0.0,0.010526315946328012,0.0,0.010526315946328012
38,0.0,0.010256410409242678,0.0,0.010256410409242678
39,0.0,0.010000000149011612,0.0,0.010000000149011612
40,0.0,0.009756097706352792,0.0,0.009756097706352792
41,0.0,0.009523809665725344,0.0,0.009523809665725344
42,0.0,0.009302325720010801,0.0,0.009302325720010801
43,0.0,0.009090909226374193,0.0,0.009090909226374193
